"Haplogroup"	"Clade"	"Macro-Clade"	"Phylotree-Subtree"	"Macro-Haplogroup"
"H1+152"	"H1"	"H"	"R0"	"R"
"H1i"	"H1"	"H"	"R0"	"R"
"H1i1"	"H1"	"H"	"R0"	"R"
"H1i2"	"H1"	"H"	"R0"	"R"
"H1i2a"	"H1"	"H"	"R0"	"R"
"H1an"	"H1"	"H"	"R0"	"R"
"H1an1"	"H1"	"H"	"R0"	"R"
"H1an1a"	"H1"	"H"	"R0"	"R"
"H1an2"	"H1"	"H"	"R0"	"R"
"H1bb"	"H1"	"H"	"R0"	"R"
"H1j"	"H1"	"H"	"R0"	"R"
"H1j1"	"H1"	"H"	"R0"	"R"
"H1j1a"	"H1"	"H"	"R0"	"R"
"H1j1a1"	"H1"	"H"	"R0"	"R"
"H1j1a2"	"H1"	"H"	"R0"	"R"
"H1j1b"	"H1"	"H"	"R0"	"R"
"H1j1c"	"H1"	"H"	"R0"	"R"
"H1j2"	"H1"	"H"	"R0"	"R"
"H1j2a"	"H1"	"H"	"R0"	"R"
"H1j3"	"H1"	"H"	"R0"	"R"
"H1j4"	"H1"	"H"	"R0"	"R"
"H1j5"	"H1"	"H"	"R0"	"R"
"H1j6"	"H1"	"H"	"R0"	"R"
"H1j7"	"H1"	"H"	"R0"	"R"
"H1j8"	"H1"	"H"	"R0"	"R"
"H1j9"	"H1"	"H"	"R0"	"R"
"H1m"	"H1"	"H"	"R0"	"R"
"H1m1"	"H1"	"H"	"R0"	"R"
"H1n"	"H1"	"H"	"R0"	"R"
"H1n+146"	"H1"	"H"	"R0"	"R"
"H1n1"	"H1"	"H"	"R0"	"R"
"H1n1a"	"H1"	"H"	"R0"	"R"
"H1n1b"	"H1"	"H"	"R0"	"R"
"H1n2"	"H1"	"H"	"R0"	"R"
"H1n2*"	"H1"	"H"	"R0"	"R"
"H1n3"	"H1"	"H"	"R0"	"R"
"H1n4"	"H1"	"H"	"R0"	"R"
"H1n+146+195"	"H1"	"H"	"R0"	"R"
"H1n5"	"H1"	"H"	"R0"	"R"
"H1n6"	"H1"	"H"	"R0"	"R"
"H1+16355"	"H1"	"H"	"R0"	"R"
"H1o"	"H1"	"H"	"R0"	"R"
"H1ck"	"H1"	"H"	"R0"	"R"
"H1p"	"H1"	"H"	"R0"	"R"
"H1q"	"H1"	"H"	"R0"	"R"
"H1q1"	"H1"	"H"	"R0"	"R"
"H1q1a"	"H1"	"H"	"R0"	"R"
"H1q2"	"H1"	"H"	"R0"	"R"
"H1q3"	"H1"	"H"	"R0"	"R"
"H1r"	"H1"	"H"	"R0"	"R"
"H1r1"	"H1"	"H"	"R0"	"R"
"H1s"	"H1"	"H"	"R0"	"R"
"H1s1"	"H1"	"H"	"R0"	"R"
"H1t"	"H1"	"H"	"R0"	"R"
"H1t1"	"H1"	"H"	"R0"	"R"
"H1t1a"	"H1"	"H"	"R0"	"R"
"H1t1a1"	"H1"	"H"	"R0"	"R"
"H1t2"	"H1"	"H"	"R0"	"R"
"H1u"	"H1"	"H"	"R0"	"R"
